annotation.GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NWMN_RS00005,7156.117974136714,1.0902094113006553,0.17446882160974098,6.248734881349061,4.137905996106869e-10,3.245047670208943e-09
NWMN_RS00025,13917.212871304935,0.7363438197156362,0.3016496548169619,2.441056397569699,0.014644367573671276,0.030570768749877474
NWMN_RS00030,14608.854684551967,1.1433861124673679,0.26861610569663363,4.256580630197473,2.075771965651113e-05,8.183117171041283e-05
NWMN_RS00035,1754.1329132306967,1.3578738046430725,0.3791880143882775,3.5810040220644983,0.0003422763845416127,0.0010748357985658995
NWMN_RS00060,516.1242323728995,0.5114922109321287,0.21504269057930253,2.378561250113743,0.017380349195643813,0.035326794311034866
NWMN_RS00075,4498.619924655633,0.6889666907870569,0.2518821540555134,2.7352739354262177,0.006232838227467444,0.014462748830033238
NWMN_RS00080,6817.242105750209,0.7518972281587408,0.2699475867768901,2.785345248446984,0.005347075648450334,0.012586655599442078
NWMN_RS00085,412.61759250009345,1.0893806258563055,0.3847887819534671,2.831113267714872,0.0046386291074571205,0.011079070987110532
NWMN_RS00125,309.5282035950545,1.2937115677021378,0.21784043420320431,5.938803658899005,2.8710946196875885e-09,1.9813930634220464e-08
NWMN_RS00130,462.2673510652164,1.3038843194561724,0.23400089919817632,5.572133799160778,2.51638037122692e-08,1.5266294508118632e-07
NWMN_RS00140,36.586216982547896,-1.0978064475133307,0.4923392205819406,-2.22977654759199,0.02576228109670229,0.049759803035960774
NWMN_RS00150,756.8491060805774,-0.8028457103190743,0.24186155622276004,-3.3194432503346456,0.0009019713554700425,0.0025584932162414265
NWMN_RS00155,65.68822644488684,-1.1366105866619387,0.42209864845488126,-2.6927605450113936,0.007086314327815636,0.016111751878669197
NWMN_RS00160,919.2224078682211,-1.419535195420842,0.3078682691077738,-4.61085255565559,4.010209045859248e-06,1.760769929866044e-05
NWMN_RS00165,200.64867100431292,-1.6168268833832056,0.33106176999563397,-4.88376197410087,1.0408070750620996e-06,4.939623221937117e-06
NWMN_RS00170,491.2759724591597,-1.8544708442640752,0.5039826056225123,-3.679632637268222,0.0002335701816832058,0.0007611792698631585
NWMN_RS00175,1659.75125700536,-2.1649285229888657,0.40109866893625684,-5.3974961540770385,6.757732189850449e-08,3.8043048968966153e-07
NWMN_RS00180,11428.443052368812,-3.5004429050989048,0.27258576849255034,-12.841620178694585,9.584733565510695e-38,1.2222618933757767e-35
NWMN_RS00190,1863.4869919742632,-1.039191016564462,0.34050990596303754,-3.0518672096349135,0.0022742268565044675,0.0057975492141280885
NWMN_RS00205,588.9714907590082,-0.5323075232687753,0.22900005183825817,-2.3244864749844774,0.020099435623095734,0.040069813490547695
NWMN_RS00210,98.75892413006662,-0.806152480763758,0.2726112732564221,-2.9571501982806097,0.003104968294017361,0.007724234102080508
NWMN_RS00220,162.47689737474872,-1.863605312268847,0.47944110185346434,-3.887037020948689,0.00010147528273114684,0.00035389655677818516
NWMN_RS00225,191.92779504551345,0.6241042534401768,0.23391067068734248,2.668130750966842,0.007627456834687021,0.017182281794268076
NWMN_RS00230,277.8081466365679,0.8384160569568248,0.265039449602517,3.1633632586175677,0.00155957597554105,0.0041508496699291285
NWMN_RS00235,1907.746210712226,1.357653028780191,0.2558030275670734,5.307415794460073,1.1119034342323953e-07,5.972917165940687e-07
NWMN_RS00240,345.75571103817504,1.4032858706553688,0.2186169997674509,6.418923835511803,1.3724104628442994e-10,1.1667477934847335e-09
NWMN_RS00245,68.04783829188106,2.160737109235584,0.5991300122286684,3.606457805707288,0.00031040530484637246,0.0009834872637765656
NWMN_RS00250,83.16731126628018,1.631198812647199,0.3951170408337837,4.128393979680075,3.653058062472928e-05,0.0001387878147309987
NWMN_RS00255,101.26640368422487,0.824226609847486,0.36411154998913275,2.2636651044771465,0.023594720284808846,0.04613554306356289
NWMN_RS00260,104.08559931223701,0.7988219644946144,0.28314270159967203,2.821269840195449,0.004783394834639648,0.011387741112011435
NWMN_RS00270,4653.161097864803,-0.6430387520615845,0.22512343129162246,-2.856383044502369,0.004284978382745198,0.010318424956150794
NWMN_RS00275,6335.810931776222,-3.058751549324166,0.48686437628270535,-6.282553619302092,3.3305634261028683e-10,2.640146629394517e-09
NWMN_RS00280,5910.475897759568,-2.318074370219844,0.4643960153384596,-4.991589707182118,5.988435816256017e-07,2.9322340983437225e-06
NWMN_RS00285,3081.4735554744684,-1.4761982553924755,0.362705600661629,-4.069962671377751,4.702067116588286e-05,0.0001748994318142874
NWMN_RS00305,4063.7366737632738,-3.4958698691566905,0.3979882710606784,-8.78385149351223,1.5797022753225158e-18,3.5368448652831594e-17
NWMN_RS00310,3969.6263835840978,-1.6652226995272656,0.3095697285412841,-5.379152242610802,7.483740382350285e-08,4.165049438602161e-07
NWMN_RS00315,8388.673376015673,6.000721831613857,0.5685257649220153,10.554881065833449,4.822499294961782e-26,2.111103049570583e-24
NWMN_RS00320,1179.338473640787,1.2301629792672595,0.2404864423026885,5.115311148055961,3.132241954335983e-07,1.5812161191165987e-06
NWMN_RS00325,3046.4608717587676,-2.634148038348942,0.3963739361998066,-6.645613643529539,3.019563744959441e-11,2.9620001551725887e-10
NWMN_RS00335,42.09284620159522,-1.1936819161861418,0.3690924131846645,-3.234100386639262,0.001220265557827946,0.003332438436787119
NWMN_RS00345,62.38885259035948,-2.404922484790686,0.30623986045746343,-7.853068118559728,4.0598101651503434e-15,6.106370879172285e-14
