annotation.GeneID,counts.co01.bam,counts.co02.bam,counts.co03.bam,counts.co04.bam,counts.mono01.bam,counts.mono02.bam,counts.mono03.bam,counts.mono04.bam
NWMN_RS09635,26,16,20,9,1,6,4,7
NWMN_RS09640,29,31,31,47,11,23,3,45
NWMN_RS09645,151,150,198,258,63,92,47,142
NWMN_RS09650,47,71,97,124,73,53,31,65
NWMN_RS09655,163,211,210,221,176,184,87,258
NWMN_RS09660,2139,2239,2459,2465,2128,1421,988,1320
NWMN_RS15880,28,37,36,29,6,14,3,13
NWMN_RS09665,8,14,42,47,19,8,9,38
NWMN_RS09670,13,11,27,31,5,10,6,9
NWMN_RS09675,26,18,57,82,1,11,1,27
NWMN_RS09680,168,121,210,249,63,116,28,92
NWMN_RS09685,109,73,181,317,14,39,14,131
NWMN_RS09690,66,59,164,142,9,28,5,117
NWMN_RS09695,120,114,251,190,12,36,8,173
NWMN_RS09700,488,606,993,754,9,14,194,55
NWMN_RS09705,404,421,514,473,45,105,32,158
NWMN_RS09715,9853,6858,6727,4998,2099,2893,1162,2623
NWMN_RS09720,6767,4794,5165,3981,1518,2116,951,2191
NWMN_RS09725,4896,3675,4349,3864,1224,1647,696,1709
NWMN_RS09730,20,19,21,18,3,8,1,14
NWMN_RS09735,19898,19904,14011,15794,23035,17552,5792,9854
NWMN_RS09740,7559,7852,9437,8135,1821,2070,961,2755
NWMN_RS09745,3249,3955,5694,6151,1272,1296,582,2219
NWMN_RS09750,9254,7789,7237,6957,3605,3276,1405,2576
NWMN_RS09755,16658,15272,18353,14891,66560,34005,35520,49370
NWMN_RS09760,286,470,573,589,94,138,58,472
NWMN_RS09765,48452,53100,20775,41026,29988,41355,23254,75347
NWMN_RS09770,15855,13356,18215,14584,3792,4054,902,3197
NWMN_RS09775,38965,33987,46117,38415,10155,11601,2635,7730
NWMN_RS09780,11680,11752,16682,16858,2370,3955,750,3015
NWMN_RS09785,10,27,24,31,7,4,1,9
NWMN_RS09790,8931,7384,7299,6238,2243,4256,1093,3680
NWMN_RS09795,1848,1627,2537,2060,1313,3000,533,3169
NWMN_RS09800,783,817,2295,2672,62,75,17,395
NWMN_RS09805,1173,1156,1813,1558,241,479,99,437
NWMN_RS09810,2373,1895,3055,2826,538,1072,223,908
NWMN_RS09815,5682,5534,7792,6931,2960,3495,850,2648
NWMN_RS09820,25349,22775,24689,24119,12204,9077,3360,5567
NWMN_RS09825,539,560,710,516,102,168,32,214
NWMN_RS09835,4193,3618,4408,2977,7949,8361,4699,10589
NWMN_RS09840,21026,15382,20615,15012,42394,39597,25923,53641
NWMN_RS09845,467,444,457,369,157,376,63,184
NWMN_RS09850,3670,3378,3964,3594,2128,3309,441,1573
NWMN_RS09855,586,443,231,228,2089,4003,178,1112
NWMN_RS09860,1263,1207,409,413,4323,10482,260,2581
NWMN_RS09865,2582,3276,4519,3567,956,1484,225,1862
NWMN_RS09870,706,622,785,665,127,153,83,286
NWMN_RS15760,9,11,7,9,2,2,1,5
NWMN_RS09875,16,24,32,13,5,1,4,7
NWMN_RS15765,84,68,92,47,14,18,2,39
NWMN_RS09880,89,78,116,59,20,29,7,75
NWMN_RS09885,73,63,116,52,5,20,3,62
NWMN_RS09890,38,36,70,46,2,12,5,29
NWMN_RS09895,96,74,159,186,8,41,10,97
NWMN_RS09900,158,177,206,139,11,72,15,74
NWMN_RS09905,90,119,170,124,13,31,4,72
NWMN_RS09910,142,135,205,213,13,65,7,106
NWMN_RS09915,87,79,173,114,13,18,5,81
NWMN_RS09920,161,157,263,179,11,54,8,153
NWMN_RS09925,477,598,920,775,3,20,209,55
NWMN_RS09930,302,337,526,333,24,105,23,329
NWMN_RS09935,264,333,459,316,28,76,18,368
NWMN_RS09940,88,95,170,118,7,29,1,131
NWMN_RS09945,68,46,128,74,13,28,1,67
NWMN_RS09950,115,134,221,146,11,46,15,142
NWMN_RS09955,502,484,695,448,71,179,108,164
NWMN_RS09960,119,135,217,151,17,40,4,106
NWMN_RS09965,90,128,199,141,26,48,1,92
NWMN_RS09970,266,284,438,308,24,78,11,181
NWMN_RS09975,84,107,151,183,10,29,2,63
NWMN_RS09980,77,96,131,124,7,32,1,70
NWMN_RS09985,50,72,110,68,3,19,3,45
NWMN_RS09990,128,158,205,181,18,56,7,114
NWMN_RS09995,410,585,664,633,2,17,222,28
NWMN_RS10000,1,4,6,7,0,0,0,2
NWMN_RS10005,13436,11882,8847,8001,15709,15677,10581,4163
NWMN_RS10010,1231,949,1476,946,208,465,204,322
NWMN_RS10015,928,647,998,791,125,330,54,152
NWMN_RS10020,3696,3116,1781,1812,4795,6633,5042,1084
NWMN_RS10025,28263,24631,25041,23369,18634,12680,5080,8176
NWMN_RS10030,14261,11951,9018,7633,14793,11539,3442,7428
NWMN_RS10035,3275,2844,2175,2017,3719,2790,957,2415
NWMN_RS10040,10638,7725,7553,5087,4078,4561,1575,4292
NWMN_RS10045,9177,11037,9081,12286,17504,15716,10464,18715
NWMN_RS10050,79,27,72,33,15,41,12,33
NWMN_RS10055,6561,4236,6658,3774,1861,4055,954,2946
NWMN_RS10060,2176,1800,2366,2117,558,790,306,1015
NWMN_RS10065,1216,1071,1504,1322,653,945,279,622
NWMN_RS10070,19715,15344,21120,20546,27039,10457,8466,10781
NWMN_RS10080,4303,3796,4291,2981,454,795,284,1224
NWMN_RS10085,5765,5456,7502,6476,595,1175,304,2614
NWMN_RS10090,872,930,1137,1051,160,246,95,655
NWMN_RS10095,1746,1579,2102,1884,421,571,213,1498
NWMN_RS10100,30328,45221,20515,37486,73246,51277,28806,59964
NWMN_RS10105,11227,10837,13245,10234,59778,33048,36241,55405
NWMN_RS10110,793,845,1142,1001,654,502,305,576
NWMN_RS15770,38,29,53,52,11,22,5,22
NWMN_RS10115,131,102,177,166,135,128,72,195
NWMN_RS10120,22,14,30,25,43,37,10,39
NWMN_RS10125,42,26,35,25,55,33,44,58
NWMN_RS10130,129,64,171,148,308,231,197,248
NWMN_RS10135,109,71,139,127,124,158,91,198
NWMN_RS10140,8,5,21,27,9,31,18,36
NWMN_RS10145,6,8,9,4,2,3,3,8
NWMN_RS10150,17,12,32,33,9,27,13,38
NWMN_RS10155,48,29,180,165,62,175,93,212
NWMN_RS10160,150,120,316,313,199,337,183,411
NWMN_RS10165,64,37,357,328,166,304,221,432
NWMN_RS10170,57,57,229,251,146,221,128,280
NWMN_RS10175,1146,1050,2437,2188,1573,2255,1237,2063
NWMN_RS10180,10,19,131,122,68,134,60,122
NWMN_RS10185,9,14,169,207,74,147,90,181
NWMN_RS10190,22,16,301,337,134,332,206,386
NWMN_RS10195,7,7,174,161,102,241,107,191
NWMN_RS10200,46,34,273,328,249,471,260,416
NWMN_RS10205,48,26,290,346,221,521,291,467
NWMN_RS10210,26,20,308,340,277,424,232,413
NWMN_RS10215,27,21,382,405,265,519,241,510
NWMN_RS10220,100,84,1127,1252,712,1697,933,1697
NWMN_RS10225,24,21,397,452,232,565,411,668
NWMN_RS10230,8,9,63,128,22,49,69,91
NWMN_RS10235,120,107,728,818,264,596,520,806
NWMN_RS10240,235,188,1122,1538,544,1123,780,1421
NWMN_RS10245,69,67,757,1200,285,793,616,1292
NWMN_RS10250,30,34,352,576,152,402,355,666
NWMN_RS10255,230,203,296,231,205,938,423,759
NWMN_RS10260,47,40,46,36,38,140,75,124
NWMN_RS10265,53,59,53,58,38,194,86,160
NWMN_RS10270,44,35,35,53,26,185,67,158
NWMN_RS10275,12,15,10,10,16,47,22,30
NWMN_RS10280,86,59,103,93,69,352,159,302
NWMN_RS10285,12,2,5,12,9,48,17,44
NWMN_RS10290,15,20,22,20,12,52,56,95
NWMN_RS10295,42,44,56,54,41,213,151,171
NWMN_RS15985,6,4,7,10,8,37,21,32
NWMN_RS10305,80,50,87,100,83,298,177,271
NWMN_RS10310,22,35,28,33,32,113,76,107
NWMN_RS10315,29,34,47,32,38,145,98,144
NWMN_RS10320,38,46,50,60,39,124,112,128
NWMN_RS10325,22,34,30,29,36,102,70,176
NWMN_RS10330,66,83,85,101,100,290,197,342
NWMN_RS10335,43,45,45,41,57,183,147,177
NWMN_RS10340,17,17,23,24,17,61,43,66
NWMN_RS10345,167,150,197,196,219,662,474,666
NWMN_RS10350,203,210,253,253,235,688,504,741
NWMN_RS10355,19056,20101,22153,21267,4883,5633,1256,3241
NWMN_RS10360,206,228,367,381,557,1267,803,1329
NWMN_RS10365,175,249,364,389,676,1982,1190,1681
NWMN_RS10370,272,356,477,438,932,2500,1667,2518
NWMN_RS10375,83,91,106,115,235,591,406,637
NWMN_RS10380,123,125,167,224,341,1173,716,1008
NWMN_RS15430,69,100,130,142,246,695,309,525
NWMN_RS10385,180,190,264,296,525,1607,1081,1704
NWMN_RS10390,1982,2104,2291,2208,1060,1721,803,1959
