annotation.GeneID,counts.co01.bam,counts.co02.bam,counts.co03.bam,counts.co04.bam,counts.mono01.bam,counts.mono02.bam,counts.mono03.bam,counts.mono04.bam
NWMN_RS11255,41,54,38,34,3,8,2,16
NWMN_RS11260,209,191,185,122,30,61,23,69
NWMN_RS11265,9144,8441,8693,7939,2716,3021,1335,4203
NWMN_RS11270,2653,2591,2642,2378,678,843,275,840
NWMN_RS11275,64,77,92,54,76,36,36,54
NWMN_RS11280,1150,970,1183,1108,498,444,178,445
NWMN_RS11285,5188,3485,4889,3161,861,1455,591,1870
NWMN_RS11290,1600,1379,1853,1548,279,511,210,811
NWMN_RS11295,1273,1065,1793,1464,320,581,175,961
NWMN_RS11300,958,796,1262,1264,305,485,142,893
NWMN_RS11305,17,22,49,33,6,7,6,21
NWMN_RS11310,1180,534,1374,1162,331,362,71,216
NWMN_RS11315,2301,954,2090,1546,467,505,119,307
NWMN_RS11320,309,126,270,187,59,45,16,34
NWMN_RS11325,1653,823,1715,946,366,392,76,137
NWMN_RS11330,2818,1275,2852,1641,574,575,93,169
NWMN_RS11335,1838,968,1867,1045,409,379,61,126
NWMN_RS11340,1998,1121,2072,1091,413,366,73,127
NWMN_RS11345,672,398,677,416,146,182,34,28
NWMN_RS11350,1534,956,1479,847,376,410,72,162
NWMN_RS11360,1,7,7,5,0,2,0,1
NWMN_RS11365,15301,13384,10148,9411,16339,16572,10692,4677
NWMN_RS11370,3646,3030,1686,1912,4734,6964,5063,1021
NWMN_RS11375,251,199,332,348,71,196,34,202
NWMN_RS11380,127,117,196,128,28,50,12,180
NWMN_RS11385,1279,1023,1239,851,433,577,143,458
NWMN_RS11390,6701,5469,6810,5578,2306,2910,957,2536
NWMN_RS11395,23021,18498,26913,23508,4701,6873,4519,18195
NWMN_RS11400,8502,6764,9850,9427,1470,2291,1601,7257
NWMN_RS11405,8347,7301,8568,7753,3635,4504,2423,6715
NWMN_RS11410,24787,19101,23211,22719,5726,5936,2205,2950
NWMN_RS11420,4973,4776,5010,5444,1538,1974,646,1108
NWMN_RS11425,3612,2856,2757,3641,1209,1632,468,692
NWMN_RS11430,10946,7864,7982,6276,3399,3578,944,2259
NWMN_RS11435,3172,2399,2208,1621,1109,1125,345,733
NWMN_RS11440,2840,2088,1955,1521,868,1048,208,703
NWMN_RS11445,6272,4894,5585,4318,2492,2683,706,2049
NWMN_RS11450,782,895,1034,1098,396,556,111,626
NWMN_RS11455,390,374,489,438,275,285,106,209
NWMN_RS11460,508,432,574,436,323,366,148,286
NWMN_RS11465,77,44,87,52,69,88,32,58
NWMN_RS11470,4,2,2,5,1,5,0,3
NWMN_RS11475,704,656,727,802,753,848,351,829
NWMN_RS11480,170,137,132,127,119,128,120,169
NWMN_RS11485,17027,18295,27635,17210,4244,14530,2730,15675
NWMN_RS11490,27064,24181,22331,20819,10890,11564,3539,8258
NWMN_RS11495,14721,14193,13740,14706,7102,7523,2643,5933
NWMN_RS11500,8596,9328,13807,13453,3127,2419,1137,2825
NWMN_RS11505,7627,5350,8741,7851,28122,17566,9874,9677
NWMN_RS11510,408,354,401,448,710,279,498,266
NWMN_RS11515,175,159,179,153,307,106,233,80
NWMN_RS11520,6876,6889,9432,9947,2338,3141,887,3172
NWMN_RS11525,2886,2846,3823,3233,1108,1397,478,1121
NWMN_RS11540,19615,17594,24635,16243,4131,8211,2073,7916
NWMN_RS11545,4881,4379,2810,1920,1209,2490,585,2017
NWMN_RS11550,4184,3873,2499,1954,693,1713,396,1958
NWMN_RS11555,3208,2973,1906,1522,806,1604,481,1942
NWMN_RS11560,983,1176,671,782,339,576,229,665
NWMN_RS11570,215,197,194,203,242,554,114,605
NWMN_RS11575,1544,1502,1285,1306,341,441,86,316
NWMN_RS11580,1508,1473,1919,2007,811,637,267,824
NWMN_RS11585,3387,2804,5470,3700,811,1368,684,4966
NWMN_RS11590,11329,10713,20042,16667,3060,4891,2819,21570
NWMN_RS11595,720,811,1539,1207,612,864,618,3800
NWMN_RS11600,11,12,9,10,1,3,0,3
NWMN_RS11605,14178,11314,16483,7323,938,1288,370,1534
NWMN_RS11610,55418,43036,60243,28020,4074,5348,1181,5845
NWMN_RS11615,30196,23490,32417,16534,2471,3589,668,3205
NWMN_RS11620,43277,36239,50014,26106,3423,5646,1294,5030
NWMN_RS11625,15578,13220,17869,9845,1475,2177,584,2292
NWMN_RS11630,20232,17038,22964,13756,2442,3470,781,3183
NWMN_RS11635,13520,11676,15211,8421,2013,2241,729,2159
NWMN_RS11640,29990,26128,33293,19646,4905,6926,1671,5007
NWMN_RS11645,12393,10456,13913,8457,2092,2733,801,2217
NWMN_RS11650,36537,32716,47666,32814,9146,8822,4595,7362
NWMN_RS11655,18576,15994,24153,15901,4904,4377,2241,3841
NWMN_RS11660,37120,31057,49889,35676,9569,8776,4922,7778
NWMN_RS11665,14841,12891,20131,15254,3841,3897,1802,3467
NWMN_RS11670,489,513,575,422,28,53,12,92
NWMN_RS11675,1614,1641,1871,1372,124,291,46,385
NWMN_RS11680,4360,3929,4423,2679,954,1907,356,1522
NWMN_RS11685,5834,5064,6528,4857,1434,2473,529,1864
NWMN_RS11690,2925,2562,3575,3212,650,1171,216,1112
NWMN_RS11695,10807,8828,10985,6551,2917,4324,546,3034
NWMN_RS11700,12881,11685,17932,11409,5193,7351,1435,5119
NWMN_RS11705,28961,19155,26618,14374,123700,77846,68615,86096
NWMN_RS11710,10029,8770,8105,7470,3999,12580,4333,11778
NWMN_RS11715,18377,17886,11567,12277,6119,27785,9281,24617
NWMN_RS11720,57554,49628,70758,63071,13717,13127,6934,12823
NWMN_RS11725,950,1172,930,1011,83,191,44,325
NWMN_RS11730,3319,3382,3735,2066,479,996,315,1186
NWMN_RS11735,1702,1831,1775,1259,268,733,162,821
NWMN_RS11740,1869,1923,1824,1431,340,732,175,1015
NWMN_RS11750,2087,1780,2654,1760,457,530,173,818
NWMN_RS11755,1666,1266,1818,1588,208,312,75,431
NWMN_RS11760,3173,2276,2938,2222,1234,1611,517,1634
NWMN_RS11765,2134,1353,2030,1862,995,1182,411,1282
NWMN_RS11770,5933,5238,5508,4488,2451,2577,869,2350
NWMN_RS11775,15587,13386,14937,13512,9700,5959,2214,2800
NWMN_RS11780,40317,33676,37922,33849,16445,11825,4181,6634
NWMN_RS11790,12578,10344,11972,10615,5767,4056,1794,2614
NWMN_RS11795,15028,15189,17758,14821,3519,3961,1140,4030
NWMN_RS11800,6329,4279,5056,3399,2458,2503,3237,3599
NWMN_RS11805,3229,1763,2999,2234,1977,1864,1336,2598
NWMN_RS11810,6530,5562,5973,6071,3012,2878,1510,2952
NWMN_RS11815,675,667,1191,996,80,194,76,477
NWMN_RS11820,2866,3131,5904,5985,865,1374,537,2990
NWMN_RS11825,2393,1690,3082,1676,14403,14367,7138,13023
NWMN_RS11830,465,312,321,243,502,403,33,150
NWMN_RS11835,2132,1409,1157,1321,1303,1216,75,532
NWMN_RS11840,15727,15203,27650,20934,4858,5031,2249,8348
NWMN_RS15995,4913,4605,3865,6874,2495,2867,937,1677
NWMN_RS11845,3463,4449,3244,6965,1297,2754,543,992
NWMN_RS15780,692,696,916,731,207,157,72,295
NWMN_RS11855,1054,1374,1785,1514,242,466,68,708
NWMN_RS11860,40,49,49,34,22,18,4,23
NWMN_RS11865,7683,5638,6830,5490,3903,2654,1601,2663
NWMN_RS11870,1939,1355,1836,1325,977,568,195,459
NWMN_RS11875,85028,81433,123107,81596,44244,11050,3306,11125
NWMN_RS11880,3588,4416,15169,12187,887,57404,3648,25483
NWMN_RS11885,6928,6842,17942,12030,10446,52452,8831,34700
NWMN_RS11890,1777,1410,3641,2190,4252,9536,2585,8440
NWMN_RS11895,5761,4724,12293,7136,11202,29095,6345,25610
NWMN_RS11900,2796,2204,2376,2174,1831,1509,574,898
NWMN_RS11905,13450,10291,13455,9220,4534,5300,1857,3872
NWMN_RS11910,6741,6275,8673,6961,3152,3850,1284,3083
NWMN_RS11915,7177,6895,9373,8796,4012,4713,1629,4463
NWMN_RS11920,10204,10233,8874,9847,25298,14566,5050,9955
NWMN_RS11925,652,640,776,644,149,189,74,271
NWMN_RS15005,11,10,18,6,5,7,5,6
NWMN_RS11930,16,18,30,13,0,7,0,14
NWMN_RS11935,37,22,58,34,4,16,9,16
NWMN_RS11940,120,111,164,93,18,60,4,64
NWMN_RS11945,463,571,685,613,3,12,219,33
NWMN_RS11950,11,9,20,8,0,0,7,4
NWMN_RS11955,16,17,22,12,2,6,0,9
NWMN_RS11960,10,7,12,7,0,0,3,2
NWMN_RS11965,15137,13325,10132,9478,15776,16051,10926,4710
NWMN_RS11970,3830,3173,1722,1856,4896,6785,5149,999
NWMN_RS11975,34,48,38,25,4,12,3,5
NWMN_RS11980,19540,13668,11895,12066,10305,9123,3812,10294
NWMN_RS11985,3828,2765,3079,1599,3468,3865,1039,3213
NWMN_RS11990,1742,2129,2036,1232,291,864,220,2278
NWMN_RS11995,2732,2554,3703,2695,510,831,217,779
NWMN_RS12000,6577,6761,10220,8557,1149,1398,660,1808
NWMN_RS12005,15264,14729,22272,20550,6264,5044,2510,5038
NWMN_RS12010,4405,4832,7717,8437,2233,2559,1122,2400
NWMN_RS12015,13334,14126,22962,24156,3030,2152,788,6807
NWMN_RS12020,2971,3399,2084,2289,1044,2185,235,1187
NWMN_RS12025,637,448,535,323,121,223,42,156
NWMN_RS12030,478,352,409,263,108,207,32,151
NWMN_RS12035,870,810,934,892,263,366,150,387
NWMN_RS12040,4,10,17,13,4,7,1,12
NWMN_RS12045,850,771,1588,1120,1534,1024,837,1970
NWMN_RS12050,2266,1883,3600,2543,10548,5437,5288,6810
NWMN_RS12055,270,257,285,220,134,169,66,231
NWMN_RS12060,4068,3340,2918,2688,1669,2084,902,1875
NWMN_RS15535,195,123,229,112,849,395,274,366
NWMN_RS12080,91296,56512,94280,43859,468863,250288,180370,212718
NWMN_RS12085,22815,15072,26915,13576,152268,74513,58353,66101
NWMN_RS12090,72791,47703,83274,41964,495840,251978,202490,204801
NWMN_RS12095,10858,8137,17099,6764,61530,67911,29990,78174
NWMN_RS12100,5960,3756,3474,3634,2858,2307,776,1647
NWMN_RS12105,35696,23983,22401,17620,41731,23144,11699,16972
NWMN_RS12110,4907,3534,3491,3251,5943,2880,2282,3102
NWMN_RS12115,490,326,484,430,141,277,108,281
NWMN_RS12120,348,238,309,234,522,468,243,431
NWMN_RS12125,13,4,15,18,3,0,1,12
NWMN_RS12130,116,56,85,92,25,31,6,59
NWMN_RS12135,101,55,93,75,28,36,25,50
NWMN_RS15900,41,25,47,27,51,27,23,58
NWMN_RS15905,21,13,18,23,16,14,4,10
NWMN_RS12150,1954,1908,1850,2061,902,1234,357,1256
NWMN_RS12155,4163,2775,2912,2886,3332,1474,1168,1404
NWMN_RS12160,143,146,169,177,54,115,29,138
NWMN_RS12165,138,202,185,123,64,128,20,161
NWMN_RS16005,59,73,95,82,39,81,14,73
NWMN_RS12170,17,29,37,29,12,28,4,49
NWMN_RS12175,9792,8389,9089,9245,15344,14138,3252,10652
NWMN_RS12180,1365,1333,1291,1716,2182,2495,651,2252
NWMN_RS12185,1,0,9,2,0,2,0,1
NWMN_RS12190,456,438,531,405,855,697,452,819
NWMN_RS12195,2442,2477,2134,2278,608,590,295,565
NWMN_RS12200,3208,2936,2746,3118,953,1049,480,834
NWMN_RS12205,3872,2004,3747,3059,67670,31551,22806,27842
NWMN_RS12210,850,875,610,529,210,337,146,379
NWMN_RS12215,1776,1558,1456,1248,521,834,280,896
NWMN_RS12220,6,12,36,34,13,19,19,76
NWMN_RS12225,87,110,133,59,351,635,234,645
NWMN_RS12230,2426,3383,3542,2803,643,1031,318,1059
NWMN_RS12235,3127,3444,4332,3683,1168,1479,393,1099
NWMN_RS12240,3087,3207,3969,3803,1115,1347,368,902
NWMN_RS16050,801,892,956,995,298,349,98,310
NWMN_RS16055,286,286,317,265,31,115,27,142
NWMN_RS12260,10125,7204,9189,4697,1595,3010,594,2030
NWMN_RS12265,13412,11292,14262,7950,2297,4741,969,4077
NWMN_RS12270,4509,3268,3606,2230,1637,2604,695,1734
NWMN_RS12275,4947,4134,4305,2759,1928,3145,804,2368
NWMN_RS12280,4901,4103,4814,4365,2519,4005,849,3064
NWMN_RS12285,4381,3655,4547,4481,2421,3851,829,3177
NWMN_RS12290,18806,13944,17863,14015,3232,3624,528,2284
NWMN_RS12295,43256,32703,42522,32457,9309,10160,1667,6043
NWMN_RS12300,20339,13737,19265,15050,5060,4990,916,2928
NWMN_RS12305,14726,10562,13043,10934,3433,3312,713,2255
NWMN_RS12310,1903,1458,1755,1449,455,388,98,308
NWMN_RS12315,9028,6424,7902,6248,2358,2039,367,1241
NWMN_RS12320,27508,21247,27036,21221,10020,7361,1756,4656
NWMN_RS12325,55134,43060,53611,41224,20093,15231,4003,10373
NWMN_RS12330,13277,8099,10300,6581,2503,2716,596,1655
NWMN_RS12335,4637,2878,3163,1978,487,727,109,402
NWMN_RS12340,23271,12836,15330,8376,2027,3598,561,1722
NWMN_RS12345,10437,5889,6790,3839,976,1820,287,1008
NWMN_RS12350,18559,10758,11835,6316,1758,3393,577,1877
NWMN_RS12355,12593,7333,8391,4452,1215,2289,398,1302
NWMN_RS12360,5312,2967,3288,1656,486,856,179,564
NWMN_RS12365,15922,9399,9775,5207,1609,2852,505,1743
NWMN_RS12370,10861,6692,6711,3465,1137,2069,430,1330
NWMN_RS12375,13836,8000,8748,4163,1360,2686,419,1706
NWMN_RS12380,7900,4891,5156,2438,877,1534,305,1073
NWMN_RS12385,3409,2248,2170,1036,457,717,160,496
NWMN_RS12390,12515,6880,8593,3930,1544,2714,454,1681
NWMN_RS12395,17681,10568,12402,5706,2284,4145,735,2623
NWMN_RS12400,8202,5208,5614,2828,1128,1932,356,1380
NWMN_RS12405,3131,2190,2570,1168,513,886,160,615
NWMN_RS12410,30336,19299,25695,12214,4560,9573,1572,6185
NWMN_RS12415,6706,4530,6225,3324,1065,2317,337,1848
NWMN_RS12420,19292,13915,20366,10871,3015,6189,992,4765
NWMN_RS12425,16940,12346,19134,10906,2926,5785,973,4794
NWMN_RS12430,5347,4172,6097,3959,862,1931,234,1584
NWMN_RS12435,7351,6102,4975,3982,5943,4053,2162,6046
NWMN_RS12440,7347,6223,8884,4969,3010,2980,949,2504
NWMN_RS12445,9389,8398,11507,9565,5392,3698,1737,3556
NWMN_RS12450,79,95,105,128,29,39,10,43
NWMN_RS12455,2878,2621,3933,4685,1309,1005,554,1403
NWMN_RS12460,4098,3606,5308,3672,739,2361,629,3888
NWMN_RS12465,637,521,721,514,69,314,79,491
NWMN_RS12470,1337,1190,1466,1246,432,1087,227,1269
NWMN_RS12475,556,541,637,535,35,132,20,216
NWMN_RS12480,1185,1097,1219,969,164,316,33,367
NWMN_RS12485,15354,12443,15714,10096,7464,10652,2714,8205
NWMN_RS12490,6246,5578,8005,7052,2820,4044,1636,4826
NWMN_RS12495,1357,1162,1160,1119,1703,1610,594,1782
NWMN_RS12500,1633,1390,1684,1644,1994,1749,709,2174
NWMN_RS12505,35,47,47,18,22,41,7,54
NWMN_RS12510,278,205,260,185,85,249,83,295
NWMN_RS12515,348,296,407,411,35,101,64,120
NWMN_RS12520,173,134,163,68,23,46,8,71
NWMN_RS12535,13097,9552,9762,6176,7110,7186,3496,6069
NWMN_RS12540,7161,5212,5330,3551,4505,4609,2112,3699
NWMN_RS12545,1760,1225,1328,976,524,541,242,649
NWMN_RS12550,3473,2437,2384,1925,1081,1216,469,1289
NWMN_RS12555,2156,1600,1342,1049,566,494,227,476
NWMN_RS12560,7612,5072,4825,3445,2423,2195,966,1742
NWMN_RS12565,6697,5752,6661,6307,3643,3268,1037,2200
NWMN_RS12570,2977,1996,2097,1716,1059,758,483,628
NWMN_RS12575,4865,3463,3912,3575,1872,1830,879,1424
NWMN_RS12580,3582,3135,4946,4174,849,1236,426,982
NWMN_RS12585,4428,3834,5609,4974,1110,1622,561,1410
NWMN_RS12590,5192,4845,6384,5723,868,1137,584,1537
NWMN_RS12595,11669,7792,8404,8002,5744,5744,3048,11019
NWMN_RS12600,5086,5165,5580,4198,77,394,34,471
NWMN_RS12605,2861,3312,3531,2648,63,300,31,299
NWMN_RS12610,575,532,451,467,120,143,41,166
NWMN_RS12615,603,485,597,356,175,386,55,301
NWMN_RS12620,843,636,1004,774,2706,2649,1465,1418
NWMN_RS12625,312,202,344,337,140,292,88,310
NWMN_RS12630,202,205,161,199,48,96,28,110
NWMN_RS12635,647,494,527,561,202,268,152,286
NWMN_RS12640,2890,2033,2487,2471,748,1597,543,1168
NWMN_RS12645,1230,770,881,950,408,525,203,390
NWMN_RS12650,1327,916,969,1017,403,605,210,394
NWMN_RS12655,1766,1432,1424,1382,527,770,232,551
NWMN_RS12660,2514,1797,1851,1710,706,992,379,669
NWMN_RS12665,3132,2731,2704,2055,793,1032,312,1074
NWMN_RS12675,6160,5499,5721,5583,9329,4263,3024,3053
NWMN_RS12680,261,312,305,303,224,206,159,214
NWMN_RS12685,426,469,881,657,328,351,313,951
NWMN_RS12690,7625,6130,8746,5537,1659,4493,1287,5110
NWMN_RS12695,552,1180,1079,731,689,1260,565,3008
NWMN_RS12700,1748,1515,1693,856,458,1439,674,2877
NWMN_RS12705,2084,1924,2208,1227,672,1709,786,3652
NWMN_RS12710,1021,939,1042,843,706,542,167,375
NWMN_RS12715,4131,4426,4222,2727,3954,8582,1875,12453
NWMN_RS12725,36605,34780,32793,33063,17886,12724,4441,7390
NWMN_RS12730,1682,1342,1532,1416,283,590,155,610
NWMN_RS12735,2137,2133,2507,1372,588,1025,267,777
NWMN_RS12740,287,424,514,262,67,214,42,177
NWMN_RS12745,18540,12714,17385,13241,17069,11615,6822,8278
NWMN_RS12750,112609,79768,110164,88764,108053,69003,57699,59657
NWMN_RS12755,17250,18028,10586,15646,17806,33491,12431,24431
NWMN_RS12760,3513,3168,4837,4009,3819,3537,2115,3270
NWMN_RS12765,7460,5654,5779,5774,4043,2536,1093,2039
NWMN_RS15785,423,339,381,331,274,168,79,175
NWMN_RS12775,1185,1411,1930,1520,92,213,59,376
NWMN_RS12780,25,27,16,32,7,13,0,13
NWMN_RS12785,7526,8622,9227,12055,11610,12729,5900,12797
NWMN_RS12790,15267,14638,18159,13130,5335,10196,1491,4380
NWMN_RS12795,2376,2206,3130,2851,678,695,307,856
NWMN_RS12800,1154,1008,1456,1297,227,261,119,361
NWMN_RS12805,791,765,932,811,491,474,256,323
NWMN_RS12810,2851,2807,2976,2931,1869,1561,1033,1347
NWMN_RS12815,410,348,459,496,161,216,85,240
NWMN_RS12820,5591,8392,4231,7980,2969,5087,2208,8397
NWMN_RS12825,4969,4640,5013,4660,1593,27144,1202,14390
NWMN_RS12830,391,364,605,636,147,142,98,263
NWMN_RS12835,3240,2447,3096,2429,2410,1201,1353,1522
NWMN_RS12840,1358,1416,1896,1367,278,405,94,336
NWMN_RS12845,926,963,906,643,957,751,338,817
NWMN_RS12850,13374,9388,14656,7906,90721,68696,22858,34058
NWMN_RS12855,1704,1095,1405,1455,882,727,181,482
NWMN_RS12860,7841,6548,7148,7524,1094,1098,498,960
NWMN_RS12865,6653,5002,5592,5439,904,880,398,685
NWMN_RS12870,935,942,1269,1307,182,243,100,400
NWMN_RS12875,36,29,75,82,22,67,44,87
NWMN_RS12880,6961,5842,11158,9453,55001,24462,30155,33004
NWMN_RS12885,8156,8128,9855,7632,1974,2965,655,4660
NWMN_RS12890,2526,2003,2876,2504,333,482,244,621
NWMN_RS12895,3409,2749,3117,3254,2490,2160,1000,2559
NWMN_RS12905,1994,1762,3078,2895,441,719,228,739
NWMN_RS12910,187,147,212,145,39,52,20,53
NWMN_RS15555,27,36,50,25,4,2,6,10
NWMN_RS12915,2673,2288,3122,2117,429,464,113,313
NWMN_RS12920,909,831,1439,1040,62,89,40,85
NWMN_RS12925,1694,1495,2601,1692,353,361,178,345
NWMN_RS12930,418,381,525,379,102,151,49,101
NWMN_RS12935,815,890,861,493,102,162,63,214
NWMN_RS12940,6414,4937,5882,4866,1694,2039,692,1328
NWMN_RS12945,3675,3556,4064,3917,1000,1515,423,1113
NWMN_RS12950,2170,1971,1703,1675,2403,1979,889,1887
NWMN_RS12955,5708,4770,5026,4695,10418,5713,2265,4094
NWMN_RS12960,4615,3979,5735,5488,2509,2056,776,1863
NWMN_RS12965,2945,2374,2477,2180,711,1429,266,1224
NWMN_RS12970,6779,7586,7931,5592,621,2468,182,1408
NWMN_RS12975,1852,2254,2518,2060,116,609,21,345
NWMN_RS12980,757,951,1456,1594,125,189,33,1114
NWMN_RS12985,982,1019,1268,1058,168,407,59,425
NWMN_RS12990,12,19,13,15,3,12,1,9
NWMN_RS12995,8363,11044,6952,8814,2022,5540,2671,8430
NWMN_RS13005,2748,3534,4260,2867,2052,4223,1768,3571
NWMN_RS13010,3309,3504,4028,3094,2978,5828,2124,6271
NWMN_RS13015,49,30,76,48,12,20,9,47
NWMN_RS13020,4075,1478,2277,789,76,80,31,98
NWMN_RS13025,4539,1503,2494,1279,113,72,16,82
NWMN_RS13030,1507,1235,1242,1513,749,782,235,473
NWMN_RS13035,5170,4448,4347,4144,2120,1880,597,1186
NWMN_RS13040,659,814,973,641,132,235,33,192
NWMN_RS13045,638,767,913,750,208,286,43,203
NWMN_RS13050,26271,20767,21207,19247,8321,6554,3705,6190
NWMN_RS13055,2886,4242,6150,2928,769,545,299,500
NWMN_RS13060,8875,7624,9017,7907,3805,3887,1686,3472
NWMN_RS13065,19731,13237,20946,20064,58650,27277,22895,27983
NWMN_RS13070,951,953,944,1039,567,655,216,696
NWMN_RS13075,4131,2957,3635,2331,1909,3105,921,3305
NWMN_RS13080,216,195,238,140,77,95,30,299
NWMN_RS13085,966,784,1085,864,871,604,340,703
NWMN_RS13090,0,3,2,1,0,1,1,3
NWMN_RS13095,1123,944,2310,1718,109,156,49,240
NWMN_RS13105,451,392,1083,723,104,208,66,267
NWMN_RS13110,3313,2558,2521,2171,1092,1069,308,1047
NWMN_RS13115,5502,4650,4552,3618,1635,2311,570,2458
NWMN_RS13120,1847,1425,1629,1705,378,850,215,484
NWMN_RS13125,964,1205,1516,1244,119,297,114,674
NWMN_RS13130,7224,6919,8029,5033,1387,2577,667,2357
NWMN_RS13135,10946,8698,14522,8859,78671,42432,30867,32063
NWMN_RS13140,652,741,1051,892,142,200,93,597
NWMN_RS13145,11919,13488,22499,19137,1573,4774,446,3674
NWMN_RS13150,648,567,1594,1904,20,74,24,165
NWMN_RS13155,3809,5488,6189,5240,1175,2135,297,1229
NWMN_RS13160,3402,4174,3518,2931,2212,2423,788,1960
NWMN_RS13165,533,823,6629,4892,110,160,214,258
NWMN_RS13170,219,134,168,142,64,93,56,78
NWMN_RS13175,381,380,455,344,161,205,42,172
NWMN_RS13180,3572,3050,4938,4923,1293,1187,866,1480
NWMN_RS13185,6887,6103,9223,9548,4050,3631,2253,3329
NWMN_RS13190,4244,3803,5397,6041,3749,2950,1886,2251
NWMN_RS13195,2117,1831,2873,3009,1812,1551,1049,1481
NWMN_RS13200,198,184,948,1028,52,82,26,111
NWMN_RS13205,564,575,2505,3502,242,249,96,334
NWMN_RS13210,998,1120,4724,7019,358,359,182,316
NWMN_RS13215,664,520,2143,1952,423,523,405,467
NWMN_RS13220,127,104,433,509,94,86,71,55
NWMN_RS13225,723,834,2576,2513,474,394,317,287
NWMN_RS13230,188,290,551,379,108,54,51,50
NWMN_RS13235,292,353,326,301,141,301,71,481
NWMN_RS13240,1701,1733,3415,3075,210,516,101,628
NWMN_RS13245,44,85,165,223,12,31,19,66
NWMN_RS13250,121,160,315,479,174,196,35,363
NWMN_RS13255,1499,1170,1877,1260,498,1633,405,2234
NWMN_RS15790,28,30,27,35,42,22,13,21
NWMN_RS13260,1667,1454,1365,1445,1700,1195,805,1025
NWMN_RS13265,1738,1373,1340,1367,1470,1158,833,968
NWMN_RS13270,18,19,29,33,3,11,1,4
NWMN_RS13275,1712,2114,2790,3340,512,805,139,731
NWMN_RS13280,1288,1777,2279,2865,398,823,118,532
NWMN_RS13285,577,572,780,671,438,298,116,417
NWMN_RS13290,10523,8976,11022,7915,19190,11287,4652,8240
NWMN_RS13295,9615,8322,11526,8932,19857,11923,5626,10122
NWMN_RS13300,2159,2425,3343,2257,3552,4332,1563,3387
NWMN_RS13305,2482,2307,3660,2143,4427,8158,2403,5624
NWMN_RS13315,849,729,1423,794,3823,2813,2217,4382
NWMN_RS13320,2517,2170,5723,4868,1810,2311,1526,5369
NWMN_RS13325,6220,4562,2124,2693,7468,8735,8069,8876
NWMN_RS13330,17,27,36,40,3,12,1,16
NWMN_RS13335,24919,32794,27393,20920,1427,1976,316,1092
NWMN_RS13345,68169,104665,130682,223565,15206,10272,3488,4574
NWMN_RS13350,34117,59883,75579,143904,5519,3594,1050,1878
NWMN_RS13355,39358,68265,89644,171614,6364,4202,1071,2071
NWMN_RS13360,1888,1809,1342,1418,96,59,18,99
NWMN_RS13365,4630,3709,3360,2691,66,151,36,148
NWMN_RS13370,10927,8475,6561,4803,242,398,114,441
NWMN_RS13375,8948,6839,4813,4108,153,296,105,256
NWMN_RS13380,9472,8523,6957,6544,14,266,8,248
NWMN_RS13385,4910,3897,3625,3436,8,203,6,122
NWMN_RS13390,7,2,8,5,2,1,0,6
NWMN_RS13400,174,106,179,123,72,144,42,209
NWMN_RS13405,102,61,109,60,80,72,38,114
NWMN_RS13415,198,176,261,190,311,332,172,294
NWMN_RS13420,506,369,598,242,931,857,584,1162
NWMN_RS13425,36768,41647,18523,38731,87235,119081,60001,99338
NWMN_RS13430,49007,58439,22152,50390,115704,154353,78326,130534
NWMN_RS13435,8134,7423,9669,8013,2743,3824,642,2386
NWMN_RS13440,100,115,133,95,16,37,38,200
NWMN_RS13445,7252,5300,7093,7795,14442,7623,4881,8580
NWMN_RS13450,768,502,718,702,451,417,232,768
NWMN_RS13455,13953,14611,22647,15118,5467,6439,1328,3422
NWMN_RS13460,5885,5520,7473,5704,2551,4272,627,2714
NWMN_RS13470,5104,5485,6902,5867,1694,2709,526,2077
NWMN_RS13480,7103,5810,6983,6889,5568,3015,1428,2994
NWMN_RS13485,7953,4359,3915,2216,2022,6544,892,5724
NWMN_RS13495,1820,1429,1965,1655,661,843,261,803
NWMN_RS13500,6529,4939,7280,5505,1885,3856,831,4423
NWMN_RS13505,9726,6603,9268,7933,1272,1282,364,919
NWMN_RS13510,10297,7462,10041,8936,1738,1609,490,1307
NWMN_RS13515,4424,3315,4422,4066,808,767,303,661
NWMN_RS13520,8673,6447,8237,8910,1584,1583,616,1230
NWMN_RS13525,9,1,1,4,4,0,0,9
NWMN_RS13530,10,8,9,14,5,6,5,3
NWMN_RS13535,1746,1547,1633,1511,605,1137,305,880
NWMN_RS13540,6298,5096,9314,9158,2848,6157,731,2817
NWMN_RS13545,14669,9653,22589,20427,49512,24800,20447,20638
NWMN_RS13550,1752,1622,2740,2268,1511,1911,1014,1953
NWMN_RS13555,2974,2237,4049,2405,9679,6439,5257,6164
NWMN_RS13560,798,772,1437,1038,2421,2002,1553,3563
NWMN_RS13565,7322,5012,5425,4203,2654,3106,1582,2710
NWMN_RS13570,2320,2230,1604,1915,396,643,184,464
NWMN_RS13575,1598,1574,1049,1458,235,392,158,325
NWMN_RS13580,35,31,28,26,9,21,5,10
NWMN_RS13585,1884,1530,2370,2849,1927,1162,609,1019
NWMN_RS13590,5352,3950,3870,3081,956,1040,465,1254
NWMN_RS13595,621,549,962,924,588,427,204,353
NWMN_RS13600,814,614,832,501,487,557,130,490
NWMN_RS13605,206,123,245,92,40,45,26,70
NWMN_RS13610,174,132,186,100,45,32,41,70
NWMN_RS13615,191,141,220,126,62,40,24,70
